"","clusternum","year","usage","num_rdt","num_rdt_positive","prev","lat","long"
"1",1,2015,0.357142857142857,30.10527,0,0,-1.262753,36.757369
"2",2,2015,0.627906976744186,5.154022,0,0,-1.338937,36.759522
"3",3,2015,0.784810126582279,24.070984,0,0,-1.270583,36.963737
"4",4,2015,0.342857142857143,20.129534,0,0,-1.322515,36.903702
"5",5,2015,0.285714285714286,15.897144,0,0,-1.318353,36.835251
"6",6,2015,0.766233766233766,33.07548,0,0,-1.20692,36.881645
"7",7,2015,0.744186046511628,17.694264,0,0,-1.276019,36.858857
"8",8,2015,0.148936170212766,2.492124,0,0,-0.002178,36.364098
"9",9,2015,0.311827956989247,7.296528,0,0,-0.427087,36.447645
"10",10,2015,0.0102040816326531,6.911488,0,0,-0.706864,36.58955
"11",11,2015,0.0683760683760684,4.784205,0,0,-0.186504,36.506193
"12",12,2015,0.16,7.898526,0,0,-0.194835,36.427213
"13",13,2015,0.0408163265306122,0.924804,0,0,-0.175527,36.857057
"14",14,2015,0,6.492332,0,0,-0.385871,37.109734
"15",15,2015,0.129411764705882,17.452716,0,0,-0.566701,37.046412
"16",16,2015,0.0919540229885057,15.167383,0,0,-0.476565,37.141745
"17",17,2015,0.25531914893617,3.5681,0,0,-0.424037,36.936094
"18",18,2015,0.658823529411765,5.02195,0,0,-0.748159,37.340994
"19",19,2015,0.428571428571429,18.033822,0,0,-0.522359,37.273405
"20",20,2015,0.453488372093023,2.711853,0,0,-0.531198,37.385329
"21",21,2015,0.630434782608696,4.318836,0,0,-0.672902,37.354064
"22",22,2015,0.508196721311475,5.133612,0,0,-0.523186,37.261742
"23",23,2015,0.0851063829787234,5.835564,0,0,-0.712532,36.915596
"24",24,2015,0.112359550561798,13.57314,0,0,-0.606501,36.964762
"25",25,2015,0.48780487804878,15.768368,0,0,-0.966115,37.150631
"26",26,2015,0.627118644067797,18.767688,0,0,-1.029366,37.15135
"27",27,2015,0.375,4.512487,0,0,-0.716623,37.157401
"28",28,2015,0.41025641025641,0.82236,0,0,-0.899258,37.209033
"29",29,2015,0.182692307692308,18.60972,1.240648,0.0666666666666667,-1.061886,36.651355
"30",30,2015,0.243243243243243,7.932864,0,0,-1.077364,36.989752
"31",31,2015,0.123595505617978,17.99056,0,0,-0.897722,36.794013
"32",32,2015,0.0444444444444444,12.641472,0,0,-1.179889,36.725431
"33",33,2015,0.114754098360656,5.642756,0,0,-1.164515,36.64103
"34",34,2015,0.287671232876712,42.935451,0,0,-1.224665,36.709624
"35",35,2015,0.569230769230769,15.45624,0,0,-1.068387,37.104735
"36",36,2015,0.452054794520548,19.114317,0,0,-1.212726,36.918759
"37",37,2015,0.243589743589744,4.278416,0,0,-4.068721,39.658694
"38",38,2015,0.636363636363636,9.4875,0,0,-4.025692,39.679349
"39",39,2015,0.17283950617284,4.550316,0,0,-4.036093,39.674162
"40",40,2015,0.888888888888889,7.626843,0,0,-4.037488,39.621041
"41",41,2015,0.716049382716049,9.9373,0,0,-4.030255,39.596942
"42",42,2015,0.714285714285714,9.9198,0,0,-4.096663,39.637394
"43",43,2015,0.752136752136752,3.931395,0.262093,0.0666666666666667,-4.354395,39.217181
"44",44,2015,0.555555555555555,0.599865,0.239946,0.4,-4.198272,39.606146
"45",45,2015,0.693693693693694,10.768649,0,0,-4.281549,39.157439
"46",46,2015,0.619047619047619,9.0286,0.6449,0.0714285714285714,-4.455536,39.287201
"47",47,2015,0.837037037037037,6.450466,0,0,-4.565622,39.149036
"48",48,2015,0.82,3.173128,2.26652,0.714285714285714,-4.255824,39.490214
"49",49,2015,0.842105263157895,1.454579,0,0,-4.271944,39.577297
"50",50,2015,0.731343283582089,0.641709,0,0,-4.292095,39.546761
"51",51,2015,0.609756097560976,7.38801,1.40724,0.19047619047619,-3.871582,39.714702
"52",52,2015,0.3125,10.73512,1.073512,0.1,-3.611262,39.486816
"53",53,2015,0.671428571428571,8.377309,6.613665,0.789473684210526,-3.89165,39.723049
"54",54,2015,0.691666666666667,13.623912,0,0,-3.161332,39.960715
"55",55,2015,0.637795275590551,18.702082,0,0,-2.99156,40.046926
"56",56,2015,0.542857142857143,16.430427,0,0,-3.94159,39.759106
"57",57,2015,0.707317073170732,4.255515,0.386865,0.0909090909090909,-3.857072,39.472066
"58",58,2015,0.276595744680851,1.65549,0,0,-3.216848,40.120578
"59",59,2015,0.81,7.118368,0,0,-3.050384,40.121151
"60",60,2015,0.517241379310345,25.397558,0,0,-1.394981,39.974198
"61",61,2015,0.16793893129771,6.467148,0,0,-2.361046,40.177563
"62",62,2015,0.302631578947368,0.584416,0,0,-0.476707,39.603112
"63",63,2015,0.435294117647059,0.69915,0,0,-2.284541,40.11211
"64",64,2015,0.901234567901235,1.476495,0,0,-2.229977,40.854416
"65",65,2015,0.752066115702479,2.812157,0,0,-2.34521,40.611872
"66",66,2015,0.557377049180328,3.125443,0,0,-2.140766,40.998046
"67",67,2015,0.35,0.95437,0,0,-2.266431,40.901743
"68",68,2015,0.720338983050848,1.206291,0.063489,0.0526315789473684,-2.280861,40.902206
"69",69,2015,0.441176470588235,13.206144,2.330496,0.176470588235294,-3.661116,38.867996
"70",70,2015,0.579439252336449,2.276022,0,0,-3.442376,38.363205
"71",71,2015,0.31404958677686,3.711165,0,0,-3.325398,38.370068
"72",72,2015,0.744444444444444,21.931686,0,0,-3.199657,37.715855
"73",73,2015,0.740740740740741,1.286307,0,0,-3.381375,38.582165
"74",74,2015,0.698412698412698,0.652495,0,0,-3.417676,38.352798
"75",75,2015,0.777777777777778,1.354416,0,0,-3.394437,37.675953
"76",76,2015,0.0273972602739726,4.17069,0,0,3.656986,37.353585
"77",77,2015,0,34.127814,0,0,1.795652,37.486838
"78",78,2015,0.107142857142857,1.052135,0,0,2.315242,37.985914
"79",79,2015,0.284090909090909,2.749227,0,0,3.530273,39.070401
"80",80,2015,0.534653465346535,2.20913,0.157795,0.0714285714285714,0.592511,37.277353
"81",81,2015,0.220183486238532,1.52504,0,0,0.733972,39.169886
"82",82,2015,0.708955223880597,6.998575,0,0,0.359367,37.578603
"83",83,2015,0.341880341880342,1.500336,0,0,0.526084,38.492661
"84",84,2015,0.537634408602151,39.451676,0,0,0.028611,37.145657
"85",85,2015,0.449438202247191,36.115968,0,0,0.250546,37.970987
"86",86,2015,0.692307692307692,3.90676,0,0,0.069628,37.6574
"87",87,2015,0.333333333333333,3.65715,0,0,0.339148,37.935555
"88",88,2015,0.542553191489362,9.570554,0,0,-0.300635,37.633157
"89",89,2015,0.752941176470588,12.168615,0,0,-0.184505,38.024035
"90",90,2015,0.294117647058824,0.804276,0,0,-0.335717,37.658839
"91",91,2015,0.393939393939394,1.404925,0,0,-0.336192,37.696146
"92",92,2015,0.263636363636364,11.073073,0,0,-0.379057,37.474444
"93",93,2015,0.432203389830508,20.98524,0,0,-0.383309,37.887883
"94",94,2015,0.571428571428572,4.19111,0,0,-0.548235,37.454133
"95",95,2015,0.623655913978495,1.462559,0,0,-0.538762,37.514863
"96",96,2015,0.327102803738318,55.059216,0,0,-1.794304,38.208448
